traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
3681,82,0.39,5,16,29.56,2,2.5,5.5
7184,64,0.77,6,10,29.74,2,8.05,6.1
7210,64,0.42,1,18,29.74,2,9.033,5.617
6609,84,0.37,1,13,29.36,2,13.017,5.983
3816,63,0.63,8,20,29.59,1,7.15,3.283
6217,70,0.64,14,8,29.51,2,2.3,4.8
7995,64,0.68,9,5,29.45,2,5.567,10.683
6553,75,0.38,2,17,29.71,2,11.65,6.633
5764,59,0.77,8,20,29.62,3,3.283,1.067
4946,59,0.94,4,10,29.68,4,6.617,5.133
1826,54,0.77,4,12,29.59,1,5.417,8.05
2574,59,0.77,3,9,29.42,1,1.267,1.917
6406,72,0.57,10,6,29.45,2,16.283,12.6
7251,61,0.52,1,17,29.74,2,5.2,0.5
780.0,52,0.76,7,10,29.51,5,5.1,9.0
3350.0,52,0.76,7,10,29.51,5,5.1,5.0
2531,72,0.5,11,24,29.45,10,8.1,4.4
5154,63,0.48,8,15,29.62,1,12.967,14.983
7198,63,0.88,1,17,29.45,3,9.95,4.767
5276,81,0.24,1,7,29.3,2,6.067,7.517
7519,73,0.53,16,7,29.54,2,7.833,1.517
3270.0,52,0.76,7,10,29.51,5,5.1,5.0
7623,68,0.68,1,16,29.45,1,5.667,6.85
3885,57,0.59,2,10,29.74,1,5.367,5.517
3834,57,0.82,11,3,29.48,1,7.0,6.733
2409,68,0.68,5,7,29.42,2,1.633,2.3
4297,57,0.55,1,14,29.77,2,3.917,0.35
1300,57,0.77,4,10,29.45,2,14.133,7.317
5389,66,0.73,8,10,29.71,2,3.7,8.05
4083,70,0.73,3,12,29.07,2,3.933,10.7
6429,61,0.94,3,16,29.39,3,6.217,2.833
5242,59,0.94,7,6,29.62,1,4.467,8.2
7146,72,0.53,1,9,29.71,4,1.017,6.4
6869,63,0.63,8,14,29.59,1,7.05,5.65
6851,63,0.42,1,18,29.77,1,14.283,9.483
6042,79,0.51,2,8,29.59,2,13.55,10.983
5207,84,0.2,11,21,29.13,10,8.883,4.333
7054,82,0.45,1,13,29.62,2,6.533,12.683
5839,64,0.64,1,16,29.27,1,0.717,7.5
7428,68,0.46,6,22,29.48,13,4.4,3.967
6846,64,0.56,8,14,29.48,1,5.917,7.183
4974,66,0.49,2,10,29.62,4,4.233,4.583
2013,61,1.0,4,14,29.24,3,2.317,3.433
7835,70,0.6,3,8,29.45,1,4.9,2.917
2289,66,0.73,5,6,29.42,2,2.3,9.083
3843,59,0.94,12,3,29.65,5,4.65,8.417
6535,57,0.82,1,7,29.59,4,5.55,3.717
5621,102,0.12,11,18,29.07,2,17.683,5.15
7389,90,0.18,5,8,29.42,2,15.967,21.35
3507,55,0.63,1,15,29.77,4,5.467,3.3
7153,79,0.21,3,8,29.33,2,17.4,18.25
4320,57,0.59,1,13,29.77,1,0.35,5.467
3309,77,0.44,17,9,29.48,2,4.333,2.65
3922,86,0.19,11,17,29.1,2,7.717,4.083
5735,88,0.29,1,12,29.48,2,8.183,11.083
8110,90,0.22,1,15,29.33,2,13.617,23.583
